model,obs,lead_day,season,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,JJAS,62464,1.5607739853029219,4.8102150997735365,2.5166915775413683,0.5231973051807711
gencast,CHIRPS,3,JJAS,62464,1.3758057971570983,4.197380953021844,2.999128461880758,0.7145237698097378
gencast,CHIRPS,5,JJAS,62464,1.386263332146601,4.259381721013427,3.3321017267522732,0.7822970433275636
gencast,CHIRPS,7,JJAS,62464,1.37838507610406,4.392170013965855,3.713580593026683,0.8455001926652542
gencast,ERA5,1,JJAS,62464,0.939240889830142,3.49635319420574,2.5166915775413683,0.7198047330321502
gencast,ERA5,3,JJAS,62464,0.9676203466848253,3.538755981998274,2.999128461880758,0.8475092595074053
gencast,ERA5,5,JJAS,62464,1.025741155243557,3.684519399877891,3.3321017267522732,0.9043517933065307
gencast,ERA5,7,JJAS,62464,1.0512793696503944,3.8338919099223636,3.713580593026683,0.9686190117712221
neuralgcm,CHIRPS,1,JJAS,62464,1.6418998570339725,4.311950679234028,1.6745006271630585,0.3883394666890104
neuralgcm,CHIRPS,3,JJAS,62464,1.4301261131486511,4.0639983859813,2.360877202775607,0.5809247392714073
neuralgcm,CHIRPS,5,JJAS,62464,1.33821405599361,3.9158436968605095,2.425859465289811,0.6194985431197677
neuralgcm,CHIRPS,7,JJAS,62464,1.303284625864608,3.8597565296214746,2.4701705893941552,0.6399809341436373
neuralgcm,ERA5,1,JJAS,62464,1.4228433201445063,4.257060870778617,1.6745006271630585,0.39334664877760883
neuralgcm,ERA5,3,JJAS,62464,1.3292871181170145,4.136617811170029,2.360877202775607,0.5707264510636143
neuralgcm,ERA5,5,JJAS,62464,1.250707309887039,4.030354921562563,2.425859465289811,0.6018972305171845
neuralgcm,ERA5,7,JJAS,62464,1.2371647758485973,4.062932782756511,2.4701705893941552,0.6079772227288139
